
Deployment Image Servicing and Management tool
Version: 10.0.19041.844

Image Version: 10.0.19044.1620

Packages listing:


--------------------------------------------------------------------------------------------------- | ---------- | --------------- | ------------------
Package Identity                                                                                    | State      | Release Type    | Install Time      
--------------------------------------------------------------------------------------------------- | ---------- | --------------- | ------------------
Microsoft-OneCore-ApplicationModel-Sync-Desktop-FOD-Package~31bf3856ad364e35~amd64~~10.0.19041.1503 | Installed  | OnDemand Pack   | 2/11/2022 3:05 PM 
Microsoft-OneCore-DirectX-Database-FOD-Package~31bf3856ad364e35~amd64~~10.0.19041.1                 | Installed  | OnDemand Pack   | 12/7/2019 9:52 AM 
Microsoft-OneCore-Graphics-Tools-Package~31bf3856ad364e35~amd64~~10.0.19041.1052                    | Installed  | OnDemand Pack   | 6/21/2021 9:14 AM 
Microsoft-Windows-Client-LanguagePack-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.1620          | Installed  | Language Pack   | 4/5/2022 4:14 PM  
Microsoft-Windows-FodMetadata-Package~31bf3856ad364e35~amd64~~10.0.19041.1                          | Installed  | Feature Pack    | 12/7/2019 9:49 AM 
Microsoft-Windows-Foundation-Package~31bf3856ad364e35~amd64~~10.0.19041.1                           | Installed  | Foundation      | 12/7/2019 9:18 AM 
Microsoft-Windows-Hello-Face-Package~31bf3856ad364e35~amd64~~10.0.19041.1348                        | Installed  | OnDemand Pack   | 11/11/2021 4:55 AM
Microsoft-Windows-InternetExplorer-Optional-Package~31bf3856ad364e35~amd64~~11.0.19041.1566         | Installed  | OnDemand Pack   | 2/19/2022 2:39 PM 
Microsoft-Windows-LanguageFeatures-Basic-en-us-Package~31bf3856ad364e35~amd64~~10.0.19041.1         | Installed  | OnDemand Pack   | 12/7/2019 9:51 AM 
Microsoft-Windows-LanguageFeatures-Handwriting-en-us-Package~31bf3856ad364e35~amd64~~10.0.19041.1   | Installed  | OnDemand Pack   | 12/7/2019 9:51 AM 
Microsoft-Windows-LanguageFeatures-OCR-en-us-Package~31bf3856ad364e35~amd64~~10.0.19041.1           | Installed  | OnDemand Pack   | 12/7/2019 9:51 AM 
Microsoft-Windows-LanguageFeatures-Speech-en-us-Package~31bf3856ad364e35~amd64~~10.0.19041.1        | Installed  | OnDemand Pack   | 12/7/2019 9:51 AM 
Microsoft-Windows-LanguageFeatures-TextToSpeech-en-us-Package~31bf3856ad364e35~amd64~~10.0.19041.1  | Installed  | OnDemand Pack   | 12/7/2019 9:51 AM 
Microsoft-Windows-MediaPlayer-Package~31bf3856ad364e35~amd64~~10.0.19041.1620                       | Installed  | OnDemand Pack   | 4/5/2022 4:14 PM  
Microsoft-Windows-MSPaint-FoD-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.1                     | Installed  | OnDemand Pack   | 12/7/2019 9:51 AM 
Microsoft-Windows-MSPaint-FoD-Package~31bf3856ad364e35~amd64~~10.0.19041.746                        | Installed  | OnDemand Pack   | 1/13/2021 9:56 AM 
Microsoft-Windows-MSPaint-FoD-Package~31bf3856ad364e35~wow64~en-US~10.0.19041.1                     | Installed  | OnDemand Pack   | 12/7/2019 9:51 AM 
Microsoft-Windows-MSPaint-FoD-Package~31bf3856ad364e35~wow64~~10.0.19041.1                          | Installed  | OnDemand Pack   | 12/7/2019 9:51 AM 
Microsoft-Windows-NetFx3-OnDemand-Package~31bf3856ad364e35~amd64~~10.0.19041.1                      | Installed  | OnDemand Pack   | 6/29/2020 12:01 PM
Microsoft-Windows-Notepad-FoD-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.488                   | Installed  | OnDemand Pack   | 9/11/2020 3:17 PM 
Microsoft-Windows-Notepad-FoD-Package~31bf3856ad364e35~amd64~~10.0.19041.1566                       | Installed  | OnDemand Pack   | 2/19/2022 2:39 PM 
Microsoft-Windows-Notepad-FoD-Package~31bf3856ad364e35~wow64~en-US~10.0.19041.1                     | Installed  | OnDemand Pack   | 12/7/2019 9:51 AM 
Microsoft-Windows-Notepad-FoD-Package~31bf3856ad364e35~wow64~~10.0.19041.1                          | Installed  | OnDemand Pack   | 12/7/2019 9:51 AM 
Microsoft-Windows-PowerShell-ISE-FOD-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.1              | Installed  | OnDemand Pack   | 12/7/2019 9:52 AM 
Microsoft-Windows-PowerShell-ISE-FOD-Package~31bf3856ad364e35~amd64~~10.0.19041.1                   | Installed  | OnDemand Pack   | 12/7/2019 9:52 AM 
Microsoft-Windows-PowerShell-ISE-FOD-Package~31bf3856ad364e35~wow64~en-US~10.0.19041.1              | Installed  | OnDemand Pack   | 12/7/2019 9:52 AM 
Microsoft-Windows-PowerShell-ISE-FOD-Package~31bf3856ad364e35~wow64~~10.0.19041.1                   | Installed  | OnDemand Pack   | 12/7/2019 9:52 AM 
Microsoft-Windows-Printing-WFS-FoD-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.906              | Installed  | OnDemand Pack   | 4/16/2021 9:06 AM 
Microsoft-Windows-Printing-WFS-FoD-Package~31bf3856ad364e35~amd64~~10.0.19041.1586                  | Installed  | OnDemand Pack   | 3/10/2022 2:54 PM 
Microsoft-Windows-QuickAssist-Package~31bf3856ad364e35~amd64~~10.0.19041.1566                       | Installed  | OnDemand Pack   | 2/19/2022 2:39 PM 
Microsoft-Windows-StepsRecorder-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.1                   | Installed  | OnDemand Pack   | 12/7/2019 9:52 AM 
Microsoft-Windows-StepsRecorder-Package~31bf3856ad364e35~amd64~~10.0.19041.746                      | Installed  | OnDemand Pack   | 1/13/2021 9:56 AM 
Microsoft-Windows-StepsRecorder-Package~31bf3856ad364e35~wow64~en-US~10.0.19041.1                   | Installed  | OnDemand Pack   | 12/7/2019 9:52 AM 
Microsoft-Windows-StepsRecorder-Package~31bf3856ad364e35~wow64~~10.0.19041.1                        | Installed  | OnDemand Pack   | 12/7/2019 9:52 AM 
